id1	id2	type
NCAPG	SPC25	correlation_pair
CENPA	SPC25	correlation_pair
MELK	SPC25	correlation_pair
NUSAP1	SPC25	correlation_pair
FN1	PPAPDC1A	correlation_pair
DACT1	PPAPDC1A	correlation_pair
ADAM12	PPAPDC1A	correlation_pair
COL10A1	PPAPDC1A	correlation_pair
GLT8D2	PPAPDC1A	correlation_pair
COL1A2	PPAPDC1A	correlation_pair
MMP2	PPAPDC1A	correlation_pair
FAP	PPAPDC1A	correlation_pair
CYS1	PPAPDC1A	correlation_pair
COL5A2	PPAPDC1A	correlation_pair
COL5A1	PPAPDC1A	correlation_pair
ITGA11	PPAPDC1A	correlation_pair
LRRC15	PPAPDC1A	correlation_pair
COL1A1	PPAPDC1A	correlation_pair
AEBP1	PPAPDC1A	correlation_pair
P4HA3	PPAPDC1A	correlation_pair
COL3A1	PPAPDC1A	correlation_pair
NOX4	PPAPDC1A	correlation_pair
HAPLN3	MFGE8	correlation_pair
MCM10	ORC1L	correlation_pair
DLGAP5	ORC1L	correlation_pair
CDC45	ORC1L	correlation_pair
E2F2	ORC1L	correlation_pair
KIF23	ORC1L	correlation_pair
KIF4A	ORC1L	correlation_pair
MKI67	ORC1L	correlation_pair
BUB1B	ORC1L	correlation_pair
DEPDC1	ORC1L	correlation_pair
CEP55	ORC1L	correlation_pair
C15orf42	ORC1L	correlation_pair
GSG2	ORC1L	correlation_pair
NCAPH	ORC1L	correlation_pair
FOXM1	ORC1L	correlation_pair
CDCA5	ORC1L	correlation_pair
CDCA8	ORC1L	correlation_pair
CDC25A	ORC1L	correlation_pair
CLSPN	ORC1L	correlation_pair
MCM6	ORC1L	correlation_pair
CDC20	ORC1L	correlation_pair
BUB1	ORC1L	correlation_pair
MCM2	ORC1L	correlation_pair
CKAP2L	ORC1L	correlation_pair
CCNB2	ORC1L	correlation_pair
KIF15	ORC1L	correlation_pair
KIF11	ORC1L	correlation_pair
HJURP	ORC1L	correlation_pair
CCNA2	ORC1L	correlation_pair
NCAPG	ORC1L	correlation_pair
EXO1	ORC1L	correlation_pair
FAM83D	ORC1L	correlation_pair
CENPO	ORC1L	correlation_pair
CENPA	ORC1L	correlation_pair
MELK	ORC1L	correlation_pair
KIF2C	ORC1L	correlation_pair
CDC45	FAM64A	correlation_pair
AURKB	FAM64A	correlation_pair
CEP55	FAM64A	correlation_pair
BIRC5	FAM64A	correlation_pair
CDCA3	FAM64A	correlation_pair
CDCA5	FAM64A	correlation_pair
CDCA8	FAM64A	correlation_pair
CDC20	FAM64A	correlation_pair
BUB1	FAM64A	correlation_pair
CCNB2	FAM64A	correlation_pair
CCNA2	FAM64A	correlation_pair
CENPA	FAM64A	correlation_pair
AURKB	CDC45	correlation_pair
BUB1B	CDC45	correlation_pair
C15orf42	CDC45	correlation_pair
BIRC5	CDC45	correlation_pair
CDC25A	CDC45	correlation_pair
CDC20	CDC45	correlation_pair
BUB1	CDC45	correlation_pair
CCNB2	CDC45	correlation_pair
CCNA2	CDC45	correlation_pair
DACT1	FN1	correlation_pair
ADAM12	FN1	correlation_pair
COL10A1	FN1	correlation_pair
COL11A1	FN1	correlation_pair
COL1A2	FN1	correlation_pair
FAP	FN1	correlation_pair
COL5A2	FN1	correlation_pair
COL5A1	FN1	correlation_pair
ANTXR1	FN1	correlation_pair
COL1A1	FN1	correlation_pair
COL6A3	FN1	correlation_pair
COL12A1	FN1	correlation_pair
AEBP1	FN1	correlation_pair
CDH11	FN1	correlation_pair
COL3A1	FN1	correlation_pair
MCM10	STIL	correlation_pair
DLGAP5	STIL	correlation_pair
ORC1L	STIL	correlation_pair
KIF23	STIL	correlation_pair
SGOL1	STIL	correlation_pair
KIF4A	STIL	correlation_pair
MKI67	STIL	correlation_pair
BUB1B	STIL	correlation_pair
DEPDC1	STIL	correlation_pair
CEP55	STIL	correlation_pair
C15orf42	STIL	correlation_pair
ANLN	STIL	correlation_pair
NCAPH	STIL	correlation_pair
CDCA8	STIL	correlation_pair
KIF18A	STIL	correlation_pair
CLSPN	STIL	correlation_pair
CDC20	STIL	correlation_pair
RAD54L	STIL	correlation_pair
BUB1	STIL	correlation_pair
CKAP2L	STIL	correlation_pair
ASPM	STIL	correlation_pair
KIF15	STIL	correlation_pair
KIF11	STIL	correlation_pair
PLK4	STIL	correlation_pair
POLQ	STIL	correlation_pair
CENPI	STIL	correlation_pair
CENPE	STIL	correlation_pair
MELK	STIL	correlation_pair
KIF2C	STIL	correlation_pair
ADAM12	DACT1	correlation_pair
COL10A1	DACT1	correlation_pair
COL1A2	DACT1	correlation_pair
CTSK	DACT1	correlation_pair
CYS1	DACT1	correlation_pair
COL5A2	DACT1	correlation_pair
COL5A1	DACT1	correlation_pair
ANTXR1	DACT1	correlation_pair
COL1A1	DACT1	correlation_pair
COL6A3	DACT1	correlation_pair
AEBP1	DACT1	correlation_pair
CDH11	DACT1	correlation_pair
COL3A1	DACT1	correlation_pair
FAM72B	FAM72D	correlation_pair
FAM72A	FAM72D	correlation_pair
FAM72A	FAM72B	correlation_pair
CENPA	FAM72B	correlation_pair
KLK5	KLK6	correlation_pair
GTSE1	TPX2	correlation_pair
MCM10	TPX2	correlation_pair
DLGAP5	TPX2	correlation_pair
OIP5	TPX2	correlation_pair
NDC80	TPX2	correlation_pair
ERCC6L	TPX2	correlation_pair
ASF1B	TPX2	correlation_pair
SPC25	TPX2	correlation_pair
ORC1L	TPX2	correlation_pair
FAM64A	TPX2	correlation_pair
CDC45	TPX2	correlation_pair
STIL	TPX2	correlation_pair
FAM72B	TPX2	correlation_pair
E2F2	TPX2	correlation_pair
E2F1	TPX2	correlation_pair
E2F8	TPX2	correlation_pair
SKA3	TPX2	correlation_pair
AURKA	TPX2	correlation_pair
AURKB	TPX2	correlation_pair
KIF23	TPX2	correlation_pair
LMNB1	TPX2	correlation_pair
MAD2L1	TPX2	correlation_pair
SGOL1	TPX2	correlation_pair
KIF4A	TPX2	correlation_pair
KIF14	TPX2	correlation_pair
KIF20A	TPX2	correlation_pair
MKI67	TPX2	correlation_pair
BUB1B	TPX2	correlation_pair
CDC25C	TPX2	correlation_pair
DEPDC1	TPX2	correlation_pair
CDK1	TPX2	correlation_pair
CEP55	TPX2	correlation_pair
C15orf42	TPX2	correlation_pair
BIRC5	TPX2	correlation_pair
ANLN	TPX2	correlation_pair
GSG2	TPX2	correlation_pair
KIFC1	TPX2	correlation_pair
ARHGAP11A	TPX2	correlation_pair
RRM2	TPX2	correlation_pair
NEIL3	TPX2	correlation_pair
NCAPH	TPX2	correlation_pair
FOXM1	TPX2	correlation_pair
PTTG1	TPX2	correlation_pair
CDCA3	TPX2	correlation_pair
CDCA5	TPX2	correlation_pair
CDCA8	TPX2	correlation_pair
NEK2	TPX2	correlation_pair
GINS1	TPX2	correlation_pair
NUF2	TPX2	correlation_pair
CDC25A	TPX2	correlation_pair
MYBL2	TPX2	correlation_pair
KIF18A	TPX2	correlation_pair
KIF18B	TPX2	correlation_pair
CDC20	TPX2	correlation_pair
RAD54L	TPX2	correlation_pair
BLM	TPX2	correlation_pair
BUB1	TPX2	correlation_pair
SKA1	TPX2	correlation_pair
CKAP2L	TPX2	correlation_pair
IQGAP3	TPX2	correlation_pair
CCNB2	TPX2	correlation_pair
CCNB1	TPX2	correlation_pair
ASPM	TPX2	correlation_pair
CDKN3	TPX2	correlation_pair
PRC1	TPX2	correlation_pair
KIF15	TPX2	correlation_pair
KIF11	TPX2	correlation_pair
PLK1	TPX2	correlation_pair
HJURP	TPX2	correlation_pair
ESPL1	TPX2	correlation_pair
POLQ	TPX2	correlation_pair
DEPDC1B	TPX2	correlation_pair
CCNA2	TPX2	correlation_pair
NCAPG	TPX2	correlation_pair
EXO1	TPX2	correlation_pair
FAM54A	TPX2	correlation_pair
FAM83D	TPX2	correlation_pair
CENPI	TPX2	correlation_pair
CENPF	TPX2	correlation_pair
CENPE	TPX2	correlation_pair
CENPA	TPX2	correlation_pair
RACGAP1	TPX2	correlation_pair
MELK	TPX2	correlation_pair
KIF2C	TPX2	correlation_pair
RAD51AP1	TPX2	correlation_pair
RAD51	TPX2	correlation_pair
NUSAP1	TPX2	correlation_pair
NFKBIL2	RECQL4	correlation_pair
ARSG	SLC16A6	correlation_pair
BIRC5	TK1	correlation_pair
ANTXR1	COL10A1	correlation_pair
AEBP1	COL10A1	correlation_pair
CDH11	COL10A1	correlation_pair
CDC45	E2F2	correlation_pair
CDCA5	E2F2	correlation_pair
CDCA8	E2F2	correlation_pair
CDC25A	E2F2	correlation_pair
CDC45	E2F1	correlation_pair
CDCA5	E2F1	correlation_pair
DLGAP5	E2F8	correlation_pair
BUB1B	E2F8	correlation_pair
BUB1	E2F8	correlation_pair
CKAP2L	E2F8	correlation_pair
CCNA2	E2F8	correlation_pair
MCM10	SKA3	correlation_pair
DLGAP5	SKA3	correlation_pair
NDC80	SKA3	correlation_pair
AURKB	SKA3	correlation_pair
SGOL1	SKA3	correlation_pair
KIF4A	SKA3	correlation_pair
KIF20A	SKA3	correlation_pair
BUB1B	SKA3	correlation_pair
CDK1	SKA3	correlation_pair
CEP55	SKA3	correlation_pair
KIFC1	SKA3	correlation_pair
NCAPH	SKA3	correlation_pair
FOXM1	SKA3	correlation_pair
CDCA8	SKA3	correlation_pair
CDC20	SKA3	correlation_pair
BUB1	SKA3	correlation_pair
SKA1	SKA3	correlation_pair
CCNB2	SKA3	correlation_pair
KIF11	SKA3	correlation_pair
PLK1	SKA3	correlation_pair
HJURP	SKA3	correlation_pair
CCNA2	SKA3	correlation_pair
NCAPG	SKA3	correlation_pair
EXO1	SKA3	correlation_pair
FAM54A	SKA3	correlation_pair
CENPA	SKA3	correlation_pair
MELK	SKA3	correlation_pair
KIF2C	SKA3	correlation_pair
NUSAP1	SKA3	correlation_pair
ANTXR1	SGIP1	correlation_pair
CASC5	GAS2L3	correlation_pair
AURKA	AURKB	correlation_pair
GTSE1	KIF23	correlation_pair
DLGAP5	KIF23	correlation_pair
CDC45	KIF23	correlation_pair
KIF14	KIF23	correlation_pair
KIF20A	KIF23	correlation_pair
BUB1B	KIF23	correlation_pair
DEPDC1	KIF23	correlation_pair
FANCI	KIF23	correlation_pair
CDK1	KIF23	correlation_pair
CEP55	KIF23	correlation_pair
C15orf42	KIF23	correlation_pair
ANLN	KIF23	correlation_pair
C12orf48	KIF23	correlation_pair
ARHGAP11A	KIF23	correlation_pair
FOXM1	KIF23	correlation_pair
CDCA5	KIF23	correlation_pair
CDCA8	KIF23	correlation_pair
KIF18A	KIF23	correlation_pair
KIF18B	KIF23	correlation_pair
BLM	KIF23	correlation_pair
BUB1	KIF23	correlation_pair
CKAP2L	KIF23	correlation_pair
CCNB2	KIF23	correlation_pair
CCNB1	KIF23	correlation_pair
ASPM	KIF23	correlation_pair
KIF15	KIF23	correlation_pair
KIF11	KIF23	correlation_pair
HJURP	KIF23	correlation_pair
ESPL1	KIF23	correlation_pair
DEPDC1B	KIF23	correlation_pair
CCNA2	KIF23	correlation_pair
EXO1	KIF23	correlation_pair
FAM83D	KIF23	correlation_pair
CENPI	KIF23	correlation_pair
CENPE	KIF23	correlation_pair
CENPA	KIF23	correlation_pair
DLGAP5	LMNB1	correlation_pair
KIF4A	LMNB1	correlation_pair
KIF20A	LMNB1	correlation_pair
BUB1B	LMNB1	correlation_pair
CDC25C	LMNB1	correlation_pair
CEP55	LMNB1	correlation_pair
KIFC1	LMNB1	correlation_pair
BUB1	LMNB1	correlation_pair
CCNB2	LMNB1	correlation_pair
CCNB1	LMNB1	correlation_pair
KIF15	LMNB1	correlation_pair
KIF11	LMNB1	correlation_pair
HJURP	LMNB1	correlation_pair
ESPL1	LMNB1	correlation_pair
DEPDC1B	LMNB1	correlation_pair
CCNA2	LMNB1	correlation_pair
EXO1	LMNB1	correlation_pair
KIF2C	LMNB1	correlation_pair
KIF4A	MAD2L1	correlation_pair
BUB1B	MAD2L1	correlation_pair
