id1	id2	type
195323	ERBB2	HBEGF	PPI
195335	EGFR	HBEGF	PPI
198153	CCNE1	SKP1	PPI
199028	SKP1	UBE2C	PPI
199262	CDC20	SKP1	PPI
202289	EXO1	MLH1	PPI
203401	UBE2C	UBE3A	PPI
204235	HES1	UBE2T	PPI
210850	EXO1	MSH2	PPI
210894	ESR1	MSH2	PPI
218086	CCNB1	ORC2	PPI
218108	CCNE1	ORC2	PPI
219626	EXO1	MSH6	PPI
227987	FBXO30	UBE2C	PPI
230434	FGF23	FGFR4	PPI
238340	MYC	NFYB	PPI
248439	CLTA	EGFR	PPI
254962	B9D2	NDC80	PPI
255036	B9D2	NUF2	PPI
255150	B9D2	BIRC5	PPI
255388	B9D2	CENPF	PPI
255438	B9D2	KIF2C	PPI
255446	B9D2	CDC20	PPI
258577	ERBB2	PLCG1	PPI
258601	EGFR	PLCG1	PPI
258687	FGFR4	PLCG1	PPI
262384	RNF114	UBE2C	PPI
265147	FBXO9	UBE2C	PPI
268721	ERBB2	EREG	PPI
268730	EGFR	EREG	PPI
269743	EFNB2	GRB7	PPI
273516	NDC80	NUP85	PPI
273626	NUF2	NUP85	PPI
273800	BIRC5	NUP85	PPI
274125	CENPF	NUP85	PPI
274215	KIF2C	NUP85	PPI
274223	CDC20	NUP85	PPI
274952	GRB7	PSPN	PPI
277468	ESR1	FOSB	PPI
285670	KRT13	KRT5	PPI
285697	KRT38	KRT5	PPI
286813	KRT5	KRT9	PPI
297120	FBXL12	UBE2C	PPI
321000	COPB1	KIF2C	PPI
322964	EP300	FOXA1	PPI
322969	FOXA1	KAT2B	PPI
322970	ATF2	FOXA1	PPI
322984	FOXA1	HIST1H2BA	PPI
322991	FOXA1	HIST1H2BD	PPI
322998	FOXA1	H2AFZ	PPI
323007	FOS	FOXA1	PPI
323014	FOXA1	H2AFV	PPI
323021	FOXA1	PGR	PPI
323025	CARM1	FOXA1	PPI
323027	FOXA1	HIST1H2AJ	PPI
323031	FOXA1	HIST2H2AC	PPI
323039	FOXA1	KAT5	PPI
323042	FOXA1	HIST1H2AD	PPI
323054	FOXA1	HIST1H2BK	PPI
323061	FOXA1	POU2F1	PPI
323065	FOXA1	HIST3H2BB	PPI
323070	FOXA1	JUN	PPI
323074	FOXA1	NCOA3	PPI
323083	AR	FOXA1	PPI
323097	FOXA1	HIST1H2BL	PPI
323102	FOXA1	HIST1H2AC	PPI
323106	FOXA1	GATA3	PPI
323116	FOXA1	TBP	PPI
323122	FOXA1	GTF2A2	PPI
323130	FOXA1	NRIP1	PPI
323138	FOXA1	NCOA1	PPI
323147	CITED1	FOXA1	PPI
323148	ESR1	FOXA1	PPI
323153	FOXA1	PRMT1	PPI
323159	FOXA1	H2AFX	PPI
323163	FOXA1	H2AFJ	PPI
323167	FOXA1	GTF2A1	PPI
323168	FOXA1	TLE3	PPI
323172	FOXA1	HIST1H2BJ	PPI
323176	FOXA1	HIST1H2BO	PPI
323180	FOXA1	HIST1H2BM	PPI
323184	FOXA1	HIST1H2BH	PPI
323189	FOXA1	LOC102724334	PPI
323193	FOXA1	HIST1H2BB	PPI
323197	FOXA1	HIST1H2BN	PPI
323201	FOXA1	H2AFB1	PPI
325103	ESR1	NEDD8	PPI
333805	KRT12	KRT5	PPI
333834	KRT31	KRT5	PPI
333860	KRT33B	KRT5	PPI
334103	RRM2	RRM2B	PPI
337227	KRT15	KRT5	PPI
337228	KRT24	KRT5	PPI
337229	KRT10	KRT5	PPI
337230	KRT16	KRT5	PPI
337231	KRT27	KRT5	PPI
337232	KRT28	KRT5	PPI
337234	KRT17	KRT5	PPI
337235	KRT25	KRT5	PPI
337239	KRT36	KRT5	PPI
337240	KRT26	KRT5	PPI
337241	KRT39	KRT5	PPI
337243	KRT19	KRT5	PPI
337244	KRT40	KRT5	PPI
337246	KRT18	KRT5	PPI
337247	KRT35	KRT5	PPI
337248	KRT5	LOC100653049	PPI
337271	KRT1	KRT17	PPI
337305	KRT17	KRT75	PPI
337335	KRT17	KRT6C	PPI
337366	KRT17	KRT6B	PPI
342961	ESR1	JUND	PPI
345288	CDC20	UBE2M	PPI
345676	ESR1	UBE2M	PPI
345969	MDM2	TRIM28	PPI
347442	CCDC62	ESR1	PPI
347684	EGFR	HIP1R	PPI
359735	ESR1	NR0B2	PPI
360313	ACTR10	KIF2C	PPI
361512	TRIM21	UBE2C	PPI
365831	EXO1	RPA1	PPI
365855	RPA1	UBE2T	PPI
379146	CCNA1	UBE2C	PPI
379251	CCNA1	CDC20	PPI
380822	BAG1	HSPBP1	PPI
382167	MKRN1	UBE2C	PPI
388768	CCNB1	CDK7	PPI
388771	CCNB1	CCNH	PPI
388777	CCNB1	ORC3	PPI
388780	CCNB1	CDK4	PPI
388799	CCNB1	CCND2	PPI
388805	CCNB1	NDC80	PPI
388810	ANAPC5	CCNB1	PPI
388817	CCNB1	CCNT1	PPI
388840	CCNB1	CCNT2	PPI
388851	CCNB1	SPDL1	PPI
388856	CCNB1	CDK6	PPI
388864	CCNB1	CDK2	PPI
388885	CCNB1	RPS27A	PPI
388893	CCNA2	CCNB1	PPI
388931	CCNB1	SKA1	PPI
388935	BUB1B	CCNB1	PPI
388940	CCNB1	CCNB2	PPI
388955	CCNB1	SHH	PPI
388957	CCNB1	ORC5	PPI
388962	CCNB1	PLK1	PPI
388972	BUB1	CCNB1	PPI
388981	CCNB1	CDC25A	PPI
388984	CCNB1	UBE2E1	PPI
388989	CCNB1	UBB	PPI
388999	BOD1	CCNB1	PPI
389014	ANAPC2	CCNB1	PPI
389033	CCNB1	SKA3	PPI
389068	CCNB1	PTCH1	PPI
389070	CCNB1	SKA2	PPI
389078	CCNB1	CENPA	PPI
389082	ANAPC1	CCNB1	PPI
389096	CCNB1	SFN	PPI
389114	CCNB1	UBE2C	PPI
389127	ANAPC11	CCNB1	PPI
389140	CCNB1	CDC16	PPI
389156	CCNB1	CENPF	PPI
389164	BCCIP	CCNB1	PPI
389191	CCNB1	ORC1	PPI
389204	CCNB1	CDC20	PPI
389216	CCNB1	CCND3	PPI
389221	CCNB1	CDK9	PPI
389229	CCNB1	UBE2D1	PPI
389237	CCNB1	CDC26	PPI
389244	CCNB1	CCNY	PPI
389256	CCNB1	CCNB3	PPI
389273	CCNB1	MCM8	PPI
389279	CCNB1	CDK14	PPI
389303	CCNB1	CDK8	PPI
389308	CCNB1	CCNK	PPI
389321	CCNB1	CDC23	PPI
389337	CCNB1	CDK1	PPI
389374	CCNB1	CDKN1A	PPI
389393	CCNB1	UBA52	PPI
389399	ANAPC7	CCNB1	PPI
389407	CCNB1	CDK12	PPI
389458	CCNB1	CDK5	PPI
389472	ANAPC4	CCNB1	PPI
389495	CCNB1	CDC27	PPI
389508	ANAPC15	CCNB1	PPI
389513	CCNB1	UBC	PPI
389517	CCNB1	ORC4	PPI
389545	ANAPC16	CCNB1	PPI
389551	ANAPC10	CCNB1	PPI
392194	UBE2C	VHL	PPI
392985	BHLHE40	UBE2T	PPI
401263	PHC2	UBE2C	PPI
403556	EGFR	PDGFRA	PPI
403757	GRB7	PDGFRA	PPI
403986	FGFR4	KLB	PPI
408655	CCNE1	ORC3	PPI
409226	KRT17	KRT85	PPI
409447	CCNE1	CDK4	PPI
410539	ESPL1	PTTG1	PPI
410596	KRT17	KRT84	PPI
410625	KRT17	KRT82	PPI
411973	CCNE1	CCT7	PPI
413181	MDM2	USP2	PPI
413189	CACNG4	MDM2	PPI
413193	MDM2	YY1	PPI
413196	CREBBP	MDM2	PPI
