C15orf42	GPSM2
BIRC5	GPSM2
ANLN	GPSM2
C12orf48	GPSM2
ARHGAP11A	GPSM2
FOXM1	GPSM2
CDCA2	GPSM2
CDCA3	GPSM2
CDCA5	GPSM2
CDCA8	GPSM2
CHEK1	GPSM2
CDC25A	GPSM2
CLSPN	GPSM2
CDC20	GPSM2
BLM	GPSM2
BUB1	GPSM2
CKAP2L	GPSM2
CCNB2	GPSM2
CCNB1	GPSM2
ASPM	GPSM2
DIAPH3	GPSM2
DEPDC1B	GPSM2
CCNA2	GPSM2
EXO1	GPSM2
FAM54A	GPSM2
FAM83D	GPSM2
CENPO	GPSM2
CENPN	GPSM2
CENPI	GPSM2
CENPF	GPSM2
CENPE	GPSM2
CENPA	GPSM2
DSCC1	GPSM2
EZH2	GPSM2
C9orf100	GPSM2
THSD4	ZNF703
GPR77	ZNF703
TBC1D9	ZNF703
FSIP1	ZNF703
B3GNT5	ZNF703
SYTL4	ZNF703
MLPH	ZNF703
CA12	ZNF703
AGR2	ZNF703
AGR3	ZNF703
P4HTM	ZNF703
SEMA3F	ZNF703
KCNJ11	ZNF703
ESR1	ZNF703
XBP1	ZNF703
PRR15	ZNF703
CLSTN2	ZNF703
ANXA9	ZNF703
GATA3	ZNF703
FOXA1	ZNF703
CXXC5	ZNF703
KCNK15	ZNF703
KDM4B	ZNF703
ARSG	ZNF703
C15orf23	CKS1B
C1orf135	CKS1B
CDC45	CKS1B
AURKA	CKS1B
AURKB	CKS1B
CCNE1	CKS1B
BUB1B	CKS1B
CDK1	CKS1B
CEP55	CKS1B
C15orf42	CKS1B
BIRC5	CKS1B
ANLN	CKS1B
C12orf48	CKS1B
CDCA2	CKS1B
CDCA3	CKS1B
CDCA5	CKS1B
CDCA8	CKS1B
CHEK1	CKS1B
CDC25A	CKS1B
CDC20	CKS1B
BUB1	CKS1B
CCNB2	CKS1B
CCNB1	CKS1B
ASPM	CKS1B
CDKN3	CKS1B
CCNA2	CKS1B
C1orf112	CKS1B
C17orf53	CKS1B
CENPN	CKS1B
CENPL	CKS1B
CENPF	CKS1B
CENPA	CKS1B
CENPW	CKS1B
CDT1	CKS1B
CACYBP	CKS1B
C9orf100	CKS1B
AGR2	ART3
AGR3	ART3
AR	ART3
A2ML1	ART3
ANXA9	ART3
ARSG	ART3
ABCC8	ART3
A2ML1	ABAT
GTSE1	MCM10
GPSM2	MCM10
CKS1B	MCM10
C15orf23	MCM10
DLGAP5	MCM10
ERCC6L	MCM10
KIAA1524	MCM10
ASF1B	MCM10
HELLS	MCM10
CRY2	MCM10
C1orf135	MCM10
FAM64A	MCM10
CDC45	MCM10
CCDC150	MCM10
BRIP1	MCM10
FAM72D	MCM10
FAM72B	MCM10
FAM72A	MCM10
H2AFZ	MCM10
DNMT3B	MCM10
E2F7	MCM10
E2F2	MCM10
E2F1	MCM10
E2F8	MCM10
GAS2L3	MCM10
AURKA	MCM10
AURKB	MCM10
KIF23	MCM10
LMNB2	MCM10
LMNB1	MCM10
MAD2L1	MCM10
CDC6	MCM10
CDC7	MCM10
DBF4	MCM10
CCNE2	MCM10
CCNE1	MCM10
CIT	MCM10
KIF4B	MCM10
KIF4A	MCM10
KIF14	MCM10
KIF20B	MCM10
KIF20A	MCM10
ESCO2	MCM10
BUB1B	MCM10
CDC25C	MCM10
GEN1	MCM10
KPNA2	MCM10
INCENP	MCM10
DEPDC1	MCM10
FANCB	MCM10
FANCA	MCM10
FANCI	MCM10
CDK1	MCM10
CEP55	MCM10
CCDC99	MCM10
C15orf42	MCM10
BIRC5	MCM10
ANLN	MCM10
GSG2	MCM10
KIFC1	MCM10
C12orf48	MCM10
ARHGAP11A	MCM10
ARHGAP11B	MCM10
CENPM	MCM10
GMPS	MCM10
FBXO5	MCM10
FOXM1	MCM10
CHAF1B	MCM10
CDCA2	MCM10
CDCA3	MCM10
CDCA5	MCM10
CDCA8	MCM10
CHEK1	MCM10
GINS3	MCM10
GINS1	MCM10
CDC25A	MCM10
HMGB2	MCM10
KIF18A	MCM10
KIF18B	MCM10
CLSPN	MCM10
CDC20	MCM10
BLM	MCM10
BUB1	MCM10
C11orf82	MCM10
CKAP2L	MCM10
IQGAP3	MCM10
CCNB2	MCM10
CCNB1	MCM10
ASPM	MCM10
CDKN3	MCM10
DIAPH3	MCM10
HMMR	MCM10
DONSON	MCM10
KIF15	MCM10
KIF11	MCM10
CKS2	MCM10
KIAA0101	MCM10
HJURP	MCM10
ATAD2	MCM10
ESPL1	MCM10
FANCD2	MCM10
FEN1	MCM10
DEPDC1B	MCM10
CCNA2	MCM10
EXO1	MCM10
EPR1	MCM10
EME1	MCM10
C17orf53	MCM10
FAM54A	MCM10
FAM83D	MCM10
LRP8	MCM10
CENPO	MCM10
CENPN	MCM10
CENPL	MCM10
CENPK	MCM10
CENPI	MCM10
CENPF	MCM10
CENPE	MCM10
CENPA	MCM10
CENPW	MCM10
CTPS	MCM10
DSCC1	MCM10
EZH2	MCM10
CASC5	MCM10
DSN1	MCM10
DNA2	MCM10
ECT2	MCM10
DTL	MCM10
KIF2C	MCM10
FAM111B	MCM10
MASTL	MCM10
CDT1	MCM10
C9orf100	MCM10
ART3	SIDT1
C4orf34	SIDT1
RND1	SIDT1
RALGPS2	SIDT1
CAPN13	SIDT1
INPP4B	SIDT1
MLPH	SIDT1
CHODL	SIDT1
FOXC1	SIDT1
CA12	SIDT1
AGR2	SIDT1
AGR3	SIDT1
SFRS13B	SIDT1
OCA2	SIDT1
PRSS33	SIDT1
HORMAD1	SIDT1
AR	SIDT1
CMBL	SIDT1
CCDC125	SIDT1
BCAS1	SIDT1
ESR1	SIDT1
FAM19A3	SIDT1
CT62	SIDT1
GPR160	SIDT1
PRR15	SIDT1
ERBB4	SIDT1
C9orf152	SIDT1
NOSTRIN	SIDT1
ROPN1	SIDT1
C1orf64	SIDT1
C6orf97	SIDT1
POU5F1	SIDT1
DEGS2	SIDT1
GATA3	SIDT1
GABBR2	SIDT1
FBP1	SIDT1
FOXA1	SIDT1
ROPN1B	SIDT1
LEMD1	SIDT1
KIAA1370	SIDT1
RHOB	SIDT1
FZD9	SIDT1
C5orf36	SIDT1
CXorf61	SIDT1
LOC145837	SIDT1
ART3	GPR77
ABAT	GPR77
FSIP1	GPR77
C16orf57	GPR77
B3GNT5	GPR77
BCL2	GPR77
FLJ45983	GPR77
CCNE1	GPR77
FOXC1	GPR77
C6orf211	GPR77
EVL	GPR77
CA12	GPR77
AGR2	GPR77
AGR3	GPR77
CDK2AP1	GPR77
AFF3	GPR77
C11orf75	GPR77
GFRA1	GPR77
AR	GPR77
A2ML1	GPR77
BCAS1	GPR77
ESR1	GPR77
CT62	GPR77
CACNA2D2	GPR77
DNALI1	GPR77
CELSR1	GPR77
ERBB4	GPR77
DNAL1	GPR77
CLSTN2	GPR77
ANXA9	GPR77
C1orf64	GPR77
C6orf97	GPR77
DEGS2	GPR77
APBB2	GPR77
GATA3	GPR77
GABBR2	GPR77
FBP1	GPR77
ACADSB	GPR77
FOXA1	GPR77
DACH1	GPR77
CXXC5	GPR77
CYP2B7P1	GPR77
FZD9	GPR77
DNAJC12	GPR77
C5orf36	GPR77
APH1B	GPR77
AMY1A	GPR77
ARSG	GPR77
CENPW	GPR77
BCL11A	GPR77
ANKRA2	GPR77
C14orf174	GPR77
ABCC8	GPR77
DMD	STAC2
KLK5	STAC2
CNTNAP3	STAC2
KLK6	STAC2
KRT14	STAC2
GABRP	STAC2
KRT17	STAC2
MIA	STAC2
ID4	STAC2
KLK7	STAC2
KLK8	STAC2
SFRP1	STAC2
KRT5	STAC2
KRT6B	STAC2
OSR1	STAC2
ROPN1	STAC2
BBOX1	STAC2
DSC3	STAC2
SOX10	STAC2
NRG2	STAC2
IRX1	STAC2
CX3CL1	STAC2
SLC6A14	STAC2
FAT2	STAC2
BCL11A	STAC2
EDN3	STAC2
THSD4	TTC7A
CLCN4	TTC7A
TBC1D9	TTC7A
HAPLN3	TTC7A
C11orf75	TTC7A
MTHFD1L	TTC7A
